Catalog ID,Description,Sex
NA19066,"INTERNATIONAL HAPMAP PROJECT - JAPANESE IN TOKYO, JAPAN",male
NA19067,"INTERNATIONAL HAPMAP PROJECT - JAPANESE IN TOKYO, JAPAN",male
NA19068,"INTERNATIONAL HAPMAP PROJECT - JAPANESE IN TOKYO, JAPAN",male
NA19070,"INTERNATIONAL HAPMAP PROJECT - JAPANESE IN TOKYO, JAPAN",male
NA19072,"INTERNATIONAL HAPMAP PROJECT - JAPANESE IN TOKYO, JAPAN",male
NA19074,"INTERNATIONAL HAPMAP PROJECT - JAPANESE IN TOKYO, JAPAN",female
NA19075,"INTERNATIONAL HAPMAP PROJECT - JAPANESE IN TOKYO, JAPAN",male
NA19076,"INTERNATIONAL HAPMAP PROJECT - JAPANESE IN TOKYO, JAPAN",male
NA19077,"INTERNATIONAL HAPMAP PROJECT - JAPANESE IN TOKYO, JAPAN",female
NA19078,"INTERNATIONAL HAPMAP PROJECT - JAPANESE IN TOKYO, JAPAN",female
NA19079,"INTERNATIONAL HAPMAP PROJECT - JAPANESE IN TOKYO, JAPAN",male
NA19080,"INTERNATIONAL HAPMAP PROJECT - JAPANESE IN TOKYO, JAPAN",female
NA19081,"INTERNATIONAL HAPMAP PROJECT - JAPANESE IN TOKYO, JAPAN",female
NA19082,"INTERNATIONAL HAPMAP PROJECT - JAPANESE IN TOKYO, JAPAN",male
NA19083,"INTERNATIONAL HAPMAP PROJECT - JAPANESE IN TOKYO, JAPAN",male
NA19084,"INTERNATIONAL HAPMAP PROJECT - JAPANESE IN TOKYO, JAPAN",female
NA19085,"INTERNATIONAL HAPMAP PROJECT - JAPANESE IN TOKYO, JAPAN",male
NA19086,"INTERNATIONAL HAPMAP PROJECT - JAPANESE IN TOKYO, JAPAN",male
NA19087,"INTERNATIONAL HAPMAP PROJECT - JAPANESE IN TOKYO, JAPAN",female
NA19088,"INTERNATIONAL HAPMAP PROJECT - JAPANESE IN TOKYO, JAPAN",male
NA19089,"INTERNATIONAL HAPMAP PROJECT - JAPANESE IN TOKYO, JAPAN",male
NA19090,"INTERNATIONAL HAPMAP PROJECT - JAPANESE IN TOKYO, JAPAN",female
NA19091,"INTERNATIONAL HAPMAP PROJECT - JAPANESE IN TOKYO, JAPAN",male
NA19092,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",male
NA19093,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",female
NA19094,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",female
NA19095,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",female
NA19096,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",male
NA19097,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",female
NA19098,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",male
NA19099,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",female
NA19100,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",female
NA19101,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",male
NA19102,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",female
NA19103,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",male
NA19107,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",male
NA19108,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",female
NA19109,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",female
NA19113,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",male
NA19114,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",female
NA19115,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",female
NA19116,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",female
NA19117,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",male
NA19118,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",female
NA19119,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",male
NA19120,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",male
NA19121,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",male
NA19122,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",female
NA19123,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",male
NA19127,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",female
NA19128,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",male
NA19129,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",female
NA19130,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",male
NA19131,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",female
NA19132,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",female
NA19137,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",female
NA19138,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",male
NA19139,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",male
NA19140,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",female
NA19141,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",male
NA19142,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",male
NA19143,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",female
NA19144,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",male
NA19145,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",male
NA19146,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",male
NA19147,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",female
NA19148,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",female
NA19149,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",female
NA19150,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",male
NA19151,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",female
NA19152,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",female
NA19153,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",male
NA19154,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",male
NA19159,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",female
NA19160,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",male
NA19161,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",male
NA19171,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",male
NA19172,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",female
NA19173,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",male
NA19174,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",male
NA19175,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",male
NA19176,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",female
NA19177,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",male
NA19184,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",male
NA19185,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",female
NA19186,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",male
NA19189,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",male
NA19190,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",female
NA19191,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",male
NA19197,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",female
NA19198,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",male
NA19199,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",female
NA19200,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",male
NA19201,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",female
NA19202,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",female
NA19203,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",male
NA19204,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",female
NA19205,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",male
NA19206,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",female
NA19207,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",male
NA19208,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",male
NA19209,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",female
NA19210,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",male
NA19211,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",male
NA19213,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",male
NA19214,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",female
NA19215,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",female
NA19221,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",female
NA19222,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",female
NA19223,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",male
NA19224,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",male
NA19225,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",female
NA19226,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",male
NA19235,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",female
NA19236,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",male
NA19237,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",female
NA19238,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",female
NA19239,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",male
NA19240,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",female
NA19247,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",female
NA19248,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",male
NA19249,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",male
NA19256,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",male
NA19257,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",female
NA19258,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA",male
NA19307,"INTERNATIONAL HAPMAP PROJECT - LUHYA IN WEBUYE, KENYA",male
NA19308,"INTERNATIONAL HAPMAP PROJECT - LUHYA IN WEBUYE, KENYA",male
NA19309,"INTERNATIONAL HAPMAP PROJECT - LUHYA IN WEBUYE, KENYA",male
NA19310,"INTERNATIONAL HAPMAP PROJECT - LUHYA IN WEBUYE, KENYA",female
NA19312,"INTERNATIONAL HAPMAP PROJECT - LUHYA IN WEBUYE, KENYA",male
NA19314,"INTERNATIONAL HAPMAP PROJECT - LUHYA IN WEBUYE, KENYA",female
NA19315,"INTERNATIONAL HAPMAP PROJECT - LUHYA IN WEBUYE, KENYA",female
NA19316,"INTERNATIONAL HAPMAP PROJECT - LUHYA IN WEBUYE, KENYA",female
NA19317,"INTERNATIONAL HAPMAP PROJECT - LUHYA IN WEBUYE, KENYA",male
NA19318,"INTERNATIONAL HAPMAP PROJECT - LUHYA IN WEBUYE, KENYA",male
NA19319,"INTERNATIONAL HAPMAP PROJECT - LUHYA IN WEBUYE, KENYA",male
NA19320,"INTERNATIONAL HAPMAP PROJECT - LUHYA IN WEBUYE, KENYA",female
NA19321,"INTERNATIONAL HAPMAP PROJECT - LUHYA IN WEBUYE, KENYA",female
NA19323,"INTERNATIONAL HAPMAP PROJECT - LUHYA IN WEBUYE, KENYA",female
NA19324,"INTERNATIONAL HAPMAP PROJECT - LUHYA IN WEBUYE, KENYA",female
NA19327,"INTERNATIONAL HAPMAP PROJECT - LUHYA IN WEBUYE, KENYA",female
NA19328,"INTERNATIONAL HAPMAP PROJECT - LUHYA IN WEBUYE, KENYA",female
NA19331,"INTERNATIONAL HAPMAP PROJECT - LUHYA IN WEBUYE, KENYA",male
NA19332,"INTERNATIONAL HAPMAP PROJECT - LUHYA IN WEBUYE, KENYA",female
NA19334,"INTERNATIONAL HAPMAP PROJECT - LUHYA IN WEBUYE, KENYA",male
NA19338,"INTERNATIONAL HAPMAP PROJECT - LUHYA IN WEBUYE, KENYA",female
NA19346,"INTERNATIONAL HAPMAP PROJECT - LUHYA IN WEBUYE, KENYA",male
NA19347,"INTERNATIONAL HAPMAP PROJECT - LUHYA IN WEBUYE, KENYA",male
NA19350,"INTERNATIONAL HAPMAP PROJECT - LUHYA IN WEBUYE, KENYA",male
NA19351,"INTERNATIONAL HAPMAP PROJECT - LUHYA IN WEBUYE, KENYA",female
NA19355,"INTERNATIONAL HAPMAP PROJECT - LUHYA IN WEBUYE, KENYA",female
NA19360,"INTERNATIONAL HAPMAP PROJECT - LUHYA IN WEBUYE, KENYA",male
NA19372,"INTERNATIONAL HAPMAP PROJECT - LUHYA IN WEBUYE, KENYA",male
NA19374,"INTERNATIONAL HAPMAP PROJECT - LUHYA IN WEBUYE, KENYA",male
NA19375,"INTERNATIONAL HAPMAP PROJECT - LUHYA IN WEBUYE, KENYA",male
NA19376,"INTERNATIONAL HAPMAP PROJECT - LUHYA IN WEBUYE, KENYA",male
NA19377,"INTERNATIONAL HAPMAP PROJECT - LUHYA IN WEBUYE, KENYA",female
NA19378,"INTERNATIONAL HAPMAP PROJECT - LUHYA IN WEBUYE, KENYA",female
NA19379,"INTERNATIONAL HAPMAP PROJECT - LUHYA IN WEBUYE, KENYA",female
NA19380,"INTERNATIONAL HAPMAP PROJECT - LUHYA IN WEBUYE, KENYA",male
NA19383,"INTERNATIONAL HAPMAP PROJECT - LUHYA IN WEBUYE, KENYA",male
NA19384,"INTERNATIONAL HAPMAP PROJECT - LUHYA IN WEBUYE, KENYA",male
NA19385,"INTERNATIONAL HAPMAP PROJECT - LUHYA IN WEBUYE, KENYA",male
NA19390,"INTERNATIONAL HAPMAP PROJECT - LUHYA IN WEBUYE, KENYA",female
NA19391,"INTERNATIONAL HAPMAP PROJECT - LUHYA IN WEBUYE, KENYA",female
NA19393,"INTERNATIONAL HAPMAP PROJECT - LUHYA IN WEBUYE, KENYA",male
NA19394,"INTERNATIONAL HAPMAP PROJECT - LUHYA IN WEBUYE, KENYA",male
NA19395,"INTERNATIONAL HAPMAP PROJECT - LUHYA IN WEBUYE, KENYA",female
NA19397,"INTERNATIONAL HAPMAP PROJECT - LUHYA IN WEBUYE, KENYA",male
NA19399,"INTERNATIONAL HAPMAP PROJECT - LUHYA IN WEBUYE, KENYA",female
NA19401,"INTERNATIONAL HAPMAP PROJECT - LUHYA IN WEBUYE, KENYA",female
NA19403,"INTERNATIONAL HAPMAP PROJECT - LUHYA IN WEBUYE, KENYA",female
NA19404,"INTERNATIONAL HAPMAP PROJECT - LUHYA IN WEBUYE, KENYA",female
NA19428,"INTERNATIONAL HAPMAP PROJECT - LUHYA IN WEBUYE, KENYA",male
NA19429,"INTERNATIONAL HAPMAP PROJECT - LUHYA IN WEBUYE, KENYA",male
NA19430,"INTERNATIONAL HAPMAP PROJECT - LUHYA IN WEBUYE, KENYA",male
NA19431,"INTERNATIONAL HAPMAP PROJECT - LUHYA IN WEBUYE, KENYA",female
NA19434,"INTERNATIONAL HAPMAP PROJECT - LUHYA IN WEBUYE, KENYA",female
NA19435,"INTERNATIONAL HAPMAP PROJECT - LUHYA IN WEBUYE, KENYA",female
NA19436,"INTERNATIONAL HAPMAP PROJECT - LUHYA IN WEBUYE, KENYA",female
NA19437,"INTERNATIONAL HAPMAP PROJECT - LUHYA IN WEBUYE, KENYA",female
NA19438,"INTERNATIONAL HAPMAP PROJECT - LUHYA IN WEBUYE, KENYA",female
NA19439,"INTERNATIONAL HAPMAP PROJECT - LUHYA IN WEBUYE, KENYA",female
NA19440,"INTERNATIONAL HAPMAP PROJECT - LUHYA IN WEBUYE, KENYA",female
NA19443,"INTERNATIONAL HAPMAP PROJECT - LUHYA IN WEBUYE, KENYA",male
NA19445,"INTERNATIONAL HAPMAP PROJECT - LUHYA IN WEBUYE, KENYA",female
NA19446,"INTERNATIONAL HAPMAP PROJECT - LUHYA IN WEBUYE, KENYA",female
NA19448,"INTERNATIONAL HAPMAP PROJECT - LUHYA IN WEBUYE, KENYA",male
NA19449,"INTERNATIONAL HAPMAP PROJECT - LUHYA IN WEBUYE, KENYA",female
NA19451,"INTERNATIONAL HAPMAP PROJECT - LUHYA IN WEBUYE, KENYA",male
NA19452,"INTERNATIONAL HAPMAP PROJECT - LUHYA IN WEBUYE, KENYA",male
NA19454,"INTERNATIONAL HAPMAP PROJECT - LUHYA IN WEBUYE, KENYA",male
NA19455,"INTERNATIONAL HAPMAP PROJECT - LUHYA IN WEBUYE, KENYA",male
NA19456,"INTERNATIONAL HAPMAP PROJECT - LUHYA IN WEBUYE, KENYA",female
NA19457,"INTERNATIONAL HAPMAP PROJECT - LUHYA IN WEBUYE, KENYA",female
NA19461,"INTERNATIONAL HAPMAP PROJECT - LUHYA IN WEBUYE, KENYA",male
NA19462,"INTERNATIONAL HAPMAP PROJECT - LUHYA IN WEBUYE, KENYA",female
NA19463,"INTERNATIONAL HAPMAP PROJECT - LUHYA IN WEBUYE, KENYA",female
NA19466,"INTERNATIONAL HAPMAP PROJECT - LUHYA IN WEBUYE, KENYA",male
NA19467,"INTERNATIONAL HAPMAP PROJECT - LUHYA IN WEBUYE, KENYA",female
NA19468,"INTERNATIONAL HAPMAP PROJECT - LUHYA IN WEBUYE, KENYA",female
NA19471,"INTERNATIONAL HAPMAP PROJECT - LUHYA IN WEBUYE, KENYA",female
NA19472,"INTERNATIONAL HAPMAP PROJECT - LUHYA IN WEBUYE, KENYA",female
NA19473,"INTERNATIONAL HAPMAP PROJECT - LUHYA IN WEBUYE, KENYA",female
NA19474,"INTERNATIONAL HAPMAP PROJECT - LUHYA IN WEBUYE, KENYA",female
NA19475,"INTERNATIONAL HAPMAP PROJECT - LUHYA IN WEBUYE, KENYA",female
NA19625,INTERNATIONAL HAPMAP PROJECT - AFRICAN ANCESTRY IN SOUTHWEST USA,female
NA19648,"INTERNATIONAL HAPMAP PROJECT - MEXICAN ANCESTRY IN LOS ANGELES, CALIFORNIA, USA",female
NA19649,"INTERNATIONAL HAPMAP PROJECT - MEXICAN ANCESTRY IN LOS ANGELES, CALIFORNIA, USA",male
NA19650,"INTERNATIONAL HAPMAP PROJECT - MEXICAN ANCESTRY IN LOS ANGELES, CALIFORNIA, USA",male
NA19651,"INTERNATIONAL HAPMAP PROJECT - MEXICAN ANCESTRY IN LOS ANGELES, CALIFORNIA, USA",female
NA19652,"INTERNATIONAL HAPMAP PROJECT - MEXICAN ANCESTRY IN LOS ANGELES, CALIFORNIA, USA",male
NA19653,"INTERNATIONAL HAPMAP PROJECT - MEXICAN ANCESTRY IN LOS ANGELES, CALIFORNIA, USA",female
NA19654,"INTERNATIONAL HAPMAP PROJECT - MEXICAN ANCESTRY IN LOS ANGELES, CALIFORNIA, USA",female
NA19655,"INTERNATIONAL HAPMAP PROJECT - MEXICAN ANCESTRY IN LOS ANGELES, CALIFORNIA, USA",male
NA19656,"INTERNATIONAL HAPMAP PROJECT - MEXICAN ANCESTRY IN LOS ANGELES, CALIFORNIA, USA",female
NA19657,"INTERNATIONAL HAPMAP PROJECT - MEXICAN ANCESTRY IN LOS ANGELES, CALIFORNIA, USA",female
NA19658,"INTERNATIONAL HAPMAP PROJECT - MEXICAN ANCESTRY IN LOS ANGELES, CALIFORNIA, USA",male
NA19659,"INTERNATIONAL HAPMAP PROJECT - MEXICAN ANCESTRY IN LOS ANGELES, CALIFORNIA, USA",female
NA19660,"INTERNATIONAL HAPMAP PROJECT - MEXICAN ANCESTRY IN LOS ANGELES, CALIFORNIA, USA",female
NA19661,"INTERNATIONAL HAPMAP PROJECT - MEXICAN ANCESTRY IN LOS ANGELES, CALIFORNIA, USA",male
NA19662,"INTERNATIONAL HAPMAP PROJECT - MEXICAN ANCESTRY IN LOS ANGELES, CALIFORNIA, USA",female
NA19663,"INTERNATIONAL HAPMAP PROJECT - MEXICAN ANCESTRY IN LOS ANGELES, CALIFORNIA, USA",female
NA19664,"INTERNATIONAL HAPMAP PROJECT - MEXICAN ANCESTRY IN LOS ANGELES, CALIFORNIA, USA",male
NA19665,"INTERNATIONAL HAPMAP PROJECT - MEXICAN ANCESTRY IN LOS ANGELES, CALIFORNIA, USA",female
NA19669,"INTERNATIONAL HAPMAP PROJECT - MEXICAN ANCESTRY IN LOS ANGELES, CALIFORNIA, USA",female
NA19670,"INTERNATIONAL HAPMAP PROJECT - MEXICAN ANCESTRY IN LOS ANGELES, CALIFORNIA, USA",male
NA19671,"INTERNATIONAL HAPMAP PROJECT - MEXICAN ANCESTRY IN LOS ANGELES, CALIFORNIA, USA",female
NA19675,"INTERNATIONAL HAPMAP PROJECT - MEXICAN ANCESTRY IN LOS ANGELES, CALIFORNIA, USA",female
NA19676,"INTERNATIONAL HAPMAP PROJECT - MEXICAN ANCESTRY IN LOS ANGELES, CALIFORNIA, USA",male
NA19677,"INTERNATIONAL HAPMAP PROJECT - MEXICAN ANCESTRY IN LOS ANGELES, CALIFORNIA, USA",female
NA19678,"INTERNATIONAL HAPMAP PROJECT - MEXICAN ANCESTRY IN LOS ANGELES, CALIFORNIA, USA",female
NA19679,"INTERNATIONAL HAPMAP PROJECT - MEXICAN ANCESTRY IN LOS ANGELES, CALIFORNIA, USA",male
NA19680,"INTERNATIONAL HAPMAP PROJECT - MEXICAN ANCESTRY IN LOS ANGELES, CALIFORNIA, USA",female
NA19681,"INTERNATIONAL HAPMAP PROJECT - MEXICAN ANCESTRY IN LOS ANGELES, CALIFORNIA, USA",female
NA19682,"INTERNATIONAL HAPMAP PROJECT - MEXICAN ANCESTRY IN LOS ANGELES, CALIFORNIA, USA",male
NA19683,"INTERNATIONAL HAPMAP PROJECT - MEXICAN ANCESTRY IN LOS ANGELES, CALIFORNIA, USA",female
NA19684,"INTERNATIONAL HAPMAP PROJECT - MEXICAN ANCESTRY IN LOS ANGELES, CALIFORNIA, USA",female
NA19685,"INTERNATIONAL HAPMAP PROJECT - MEXICAN ANCESTRY IN LOS ANGELES, CALIFORNIA, USA",male
NA19686,"INTERNATIONAL HAPMAP PROJECT - MEXICAN ANCESTRY IN LOS ANGELES, CALIFORNIA, USA",female
NA19700,INTERNATIONAL HAPMAP PROJECT - AFRICAN ANCESTRY IN SOUTHWEST USA,male
NA19701,INTERNATIONAL HAPMAP PROJECT - AFRICAN ANCESTRY IN SOUTHWEST USA,female
NA19702,INTERNATIONAL HAPMAP PROJECT - AFRICAN ANCESTRY IN SOUTHWEST USA,male
NA19703,INTERNATIONAL HAPMAP PROJECT - AFRICAN ANCESTRY IN SOUTHWEST USA,male
NA19704,INTERNATIONAL HAPMAP PROJECT - AFRICAN ANCESTRY IN SOUTHWEST USA,female
NA19705,INTERNATIONAL HAPMAP PROJECT - AFRICAN ANCESTRY IN SOUTHWEST USA,male
NA19707,INTERNATIONAL HAPMAP PROJECT - AFRICAN ANCESTRY IN SOUTHWEST USA,female
NA19711,INTERNATIONAL HAPMAP PROJECT - AFRICAN ANCESTRY IN SOUTHWEST USA,male
NA19712,INTERNATIONAL HAPMAP PROJECT - AFRICAN ANCESTRY IN SOUTHWEST USA,female
NA19713,INTERNATIONAL HAPMAP PROJECT - AFRICAN ANCESTRY IN SOUTHWEST USA,female
NA19716,"INTERNATIONAL HAPMAP PROJECT - MEXICAN ANCESTRY IN LOS ANGELES, CALIFORNIA, USA",female
NA19717,"INTERNATIONAL HAPMAP PROJECT - MEXICAN ANCESTRY IN LOS ANGELES, CALIFORNIA, USA",male
NA19718,"INTERNATIONAL HAPMAP PROJECT - MEXICAN ANCESTRY IN LOS ANGELES, CALIFORNIA, USA",female
NA19719,"INTERNATIONAL HAPMAP PROJECT - MEXICAN ANCESTRY IN LOS ANGELES, CALIFORNIA, USA",female
NA19720,"INTERNATIONAL HAPMAP PROJECT - MEXICAN ANCESTRY IN LOS ANGELES, CALIFORNIA, USA",male
NA19721,"INTERNATIONAL HAPMAP PROJECT - MEXICAN ANCESTRY IN LOS ANGELES, CALIFORNIA, USA",female
NA19722,"INTERNATIONAL HAPMAP PROJECT - MEXICAN ANCESTRY IN LOS ANGELES, CALIFORNIA, USA",female
NA19723,"INTERNATIONAL HAPMAP PROJECT - MEXICAN ANCESTRY IN LOS ANGELES, CALIFORNIA, USA",male
NA19724,"INTERNATIONAL HAPMAP PROJECT - MEXICAN ANCESTRY IN LOS ANGELES, CALIFORNIA, USA",male
NA19725,"INTERNATIONAL HAPMAP PROJECT - MEXICAN ANCESTRY IN LOS ANGELES, CALIFORNIA, USA",female
NA19726,"INTERNATIONAL HAPMAP PROJECT - MEXICAN ANCESTRY IN LOS ANGELES, CALIFORNIA, USA",male
NA19727,"INTERNATIONAL HAPMAP PROJECT - MEXICAN ANCESTRY IN LOS ANGELES, CALIFORNIA, USA",male
NA19728,"INTERNATIONAL HAPMAP PROJECT - MEXICAN ANCESTRY IN LOS ANGELES, CALIFORNIA, USA",female
NA19729,"INTERNATIONAL HAPMAP PROJECT - MEXICAN ANCESTRY IN LOS ANGELES, CALIFORNIA, USA",male
NA19730,"INTERNATIONAL HAPMAP PROJECT - MEXICAN ANCESTRY IN LOS ANGELES, CALIFORNIA, USA",female
NA19731,"INTERNATIONAL HAPMAP PROJECT - MEXICAN ANCESTRY IN LOS ANGELES, CALIFORNIA, USA",female
NA19732,"INTERNATIONAL HAPMAP PROJECT - MEXICAN ANCESTRY IN LOS ANGELES, CALIFORNIA, USA",male
NA19733,"INTERNATIONAL HAPMAP PROJECT - MEXICAN ANCESTRY IN LOS ANGELES, CALIFORNIA, USA",female
